Time,E1,E2,E3,E4,E5,E6,E7
0.0033,0,0,0,0,0,0,0
0.0067,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0
0.0133,0,0,0,0,0,0,0
0.0167,0,0,0,0.1,0.1,0,0
0.02,0,0,0,0,0,0,0
0.0233,0,-0.1,-0.1,-0.2,-0.1,-0.1,-0.1
0.0267,0,-0.1,-0.1,-0.4,-0.3,-0.1,-0.1
0.03,0,0,0,-0.2,-0.1,0,0
0.0333,0.1,0.2,0.2,0.4,0.3,0.1,0.2
0.0367,0.1,0.2,0.3,0.8,0.6,0.2,0.3
0.04,0,0,0.1,0.3,0.2,0,0
0.0433,-0.2,-0.3,-0.3,-0.8,-0.6,-0.3,-0.4
0.0467,-0.2,-0.4,-0.5,-1.5,-1,-0.4,-0.5
0.05,0.1,0,-0.1,-0.6,-0.4,0,0
0.0533,0.3,0.5,0.5,1.3,0.9,0.5,0.6
0.0567,0.3,0.7,0.7,2.4,1.6,0.6,0.7
0.06,-0.1,0,0.1,0.9,0.6,0,0
0.0633,-0.5,-0.8,-0.8,-2,-1.4,-0.7,-0.9
0.0667,-0.4,-1,-1.1,-3.6,-2.4,-0.8,-1.1
0.07,0.2,0,-0.1,-1.4,-0.9,0,0
0.0733,0.8,1.2,1.2,2.9,2,1.1,1.4
0.0767,0.6,1.4,1.5,5.1,3.5,1.2,1.5
0.08,-0.4,0,0.2,2.1,1.4,0,0
0.0833,-1.1,-1.7,-1.7,-4.1,-2.8,-1.5,-1.9
0.0867,-0.7,-2,-2.1,-7.3,-4.9,-1.6,-2.1
0.09,0.6,0,-0.3,-3.1,-2,0,0
0.0933,1.5,2.4,2.4,5.8,4,2,2.7
0.0967,1,2.8,3,10.4,7,2.2,3
0.1,-0.8,0.1,0.4,4.5,2.9,0,0
0.1033,-2.1,-3.4,-3.3,-8.4,-5.7,-2.8,-3.8
0.1067,-1.5,-4.1,-4.4,-15.4,-10.3,-3.2,-4.4
0.11,1,-0.3,-0.7,-6.7,-4.4,-0.1,-0.1
0.1133,3.1,5.2,5.1,13.1,8.9,4.3,5.7
0.1167,2.4,6.6,7,24.7,16.6,5.3,7.1
0.12,-1.4,0.6,1.3,10.7,7.1,0.3,0.5
0.1233,-5.4,-9.1,-9,-24.1,-16.6,-7.8,-10.2
0.1267,-5.1,-13.1,-14.1,-48.4,-32.9,-11.1,-14.3
0.13,1.9,-1.9,-3.2,-21.4,-14.2,-1.3,-1.7
0.1333,14.4,25.9,26.6,76.3,53.3,23.8,29.5
0.1367,27.5,61.4,67.1,223.7,155.3,57.7,69.9
0.14,36,90.6,103.1,368.6,256.1,88.6,104.1
0.1433,37.8,103.4,122.2,460.1,319.7,106.1,120.6
0.1467,35.1,100.1,122.3,479.4,332.1,107.5,118.3
0.15,32.4,90,111.8,448,307.8,98.7,106.4
0.1533,32.9,83.7,102.6,407,276.3,89.4,96.3
0.1567,36.6,85.4,101.4,386.9,261,86.6,94.5
0.16,40.6,91.3,106.4,390.3,266.1,90.9,99
0.1633,41.6,94.2,110.5,398.9,278.9,97.5,103.4
0.1667,38.1,89.9,108.2,394.1,284.1,100.9,103
0.17,31.7,80.9,100.1,373.2,276.3,98.2,97.9
0.1733,25.6,73.1,91.5,348.9,261.1,91.2,92
0.1767,22.1,71.3,87.6,335.4,248.1,84,88.9
0.18,21.5,75.3,89.5,336.1,241.9,79.4,88.9
0.1833,22,80.8,94,342.6,239.5,77.9,89.2
0.1867,21.1,83.4,96.4,344,235,77.4,87
0.19,18.4,82.1,94.9,335.9,225.9,76,82.1
0.1933,15.8,79.7,91.4,323,214.6,73.8,77.7
0.1967,16.4,79.9,89,312.6,205.7,72.9,77.3
0.2,21.6,84.1,89.7,307.9,202,75.3,82.3
0.2033,29.9,90.6,92.7,306.1,202.4,81,90.5
0.2067,36.9,95.8,95.5,302.2,203.8,87.2,97.5
0.21,38.7,97.2,96.3,294.2,203.6,90.5,99.6
0.2133,34.6,94.9,94.9,284.5,201.5,89,96.2
0.2167,27.4,90.9,92.1,276.6,198,83.4,89.5
0.22,21.3,86.6,88.5,271.7,193.5,76.5,82.2
0.2233,18.7,81.8,83.6,267.8,188.1,70.8,76
0.2267,19.2,75.6,76.9,262.2,182,67.5,70.7
0.23,20.6,67.3,69.3,253.7,176,65.8,65.6
0.2333,21.4,58.5,63.2,244,171.4,64.7,60.8
0.2367,21.4,51.5,60.6,235.6,168.6,63.6,57.4
0.24,21.4,47.9,61.4,229.7,166.6,62.6,56.8
0.2433,21.2,47.2,63.3,225.6,164.1,61.7,58.9
0.2467,19.8,47.1,62.9,221.5,160.6,60.7,61.8
0.25,16.3,45.7,59,216,156.7,59.2,63.1
0.2533,11.7,42.9,52.8,209.4,153.3,56.8,61.2
0.2567,8.9,40,47.7,202.9,150.8,54,56.6
0.26,10.5,38.6,46.1,197.8,148.5,51.3,51.6
0.2633,16.7,38.8,47.7,194.5,145.6,49.6,48.6
0.2667,24.6,39.1,49.8,192,142.1,48.9,48.4
0.27,30.1,38.1,49.5,189,138.5,48.9,49.9
0.2733,30.9,35.5,46.1,185,135.7,49.4,51.1
0.2767,27.9,33.1,41.3,180.7,133.6,49.8,50.8
0.28,23.8,32.7,37.9,177.6,131.5,49.7,48.9
0.2833,20.8,34.7,37.2,176,128.3,48.7,46.6
0.2867,19.4,38,38.6,175,124,46.7,45.2
0.29,18.8,40.6,40.2,173.1,119.6,44.5,45.7
0.2933,18.3,41.9,40.9,169.9,116.5,43.1,47.9
0.2967,18.3,42.4,41,166,115.1,43.3,51
0.3,19.7,43.2,41,163,113.9,44.8,53.8
0.3033,22.3,44.2,41.3,161.3,110.8,45.9,55
0.3067,24.6,44.5,41.1,160.1,104.9,45,54.3
0.31,25,43.1,39.8,157.6,97.2,41.7,51.8
0.3133,23.2,41,38.3,153.2,90.1,37.5,48.9
0.3167,20.5,40.3,38,147.7,85.7,34.3,46.9
0.32,18.9,42.4,40.3,142.8,84.3,33.3,46.7
0.3233,18.9,46.7,44.4,139.7,84.3,34.4,47.8
0.3267,19.7,50.2,47.8,138.2,84,36.1,48.9
0.33,19.6,49.7,47.5,137.1,82.7,37.2,48.6
0.3333,18.2,44.2,42.7,135.2,81.3,37.3,46.2
0.3367,16.5,35.7,35.1,132.3,81.1,36.8,41.7
0.34,16,27.7,28.2,128.7,82.5,36.3,36.4
0.3433,16.9,22.7,24.4,125,84.9,35.8,31.4
0.3467,17.5,20.7,24,121.5,86.4,34.7,27.6
0.35,15.3,19.9,25,118.3,85.5,32.7,24.9
0.3533,9.3,18.8,25.6,115.6,82,29.6,22.9
0.3567,1,17.3,25.3,113.9,76.9,25.9,21.3
0.36,-5.8,16.9,25.1,113.4,71.5,22.3,20.1
0.3633,-7.4,18.6,26.3,113,67.5,19.6,19.8
0.3667,-2.9,21.7,28.6,111,65.5,18.2,20.9
0.37,5.9,24.6,30.7,106.6,65.7,19,23.3
0.3733,15.4,25.4,31,100.4,67.5,22,26.4
0.3767,22.3,24.1,29.2,94.3,69.7,26.5,29.3
0.38,25.7,22.4,27,90.4,71,31.1,31.4
0.3833,26.7,22.1,26.4,89,70.3,33.9,32.3
0.3867,26.9,24.2,28.1,89,67.5,33.8,32.2
0.39,27,27.3,30.7,88.8,63.6,31.1,31.3
0.3933,26.5,29.6,32,87.5,59.9,27.4,29.6
0.3967,24.3,29.5,30.6,85.3,57.7,24.5,27.4
0.4,20.5,27.6,27.1,83.2,57.4,23.4,25.3
0.4033,16,26,23.9,81.7,58.1,23.8,24.1
