Time,E1,E2,E3,E4,E5,E6,E7
0.0033,0,0,0,0,0,0,0
0.0067,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0
0.0133,0,0,0,0,0,0,0
0.0167,0,0,0,0,0,0,0
0.02,0,0,0,0,0,0,0
0.0233,0,0,0,0,0,0,0
0.0267,0,0,0,0.1,0,0,0
0.03,0,0,0,0.2,0,0,0
0.0333,0,0,0,0.1,0,0,0
0.0367,0,0,0,-0.2,0,0,0
0.04,0,0,0,-0.5,0,0,0
0.0433,0,0,0,-0.3,0,0,0
0.0467,0.1,0,0.1,0.4,0,0,0
0.05,0,0,0.1,1,0,0,0
0.0533,-0.1,0,0,0.6,0,0,0
0.0567,-0.1,0,-0.1,-0.9,0,0,0
0.06,0,0,-0.1,-1.8,0,0,0
0.0633,0.2,0,0,-0.9,0,0.1,0
0.0667,0.2,0,0.1,1.6,-0.1,0,0
0.07,0,0,0.1,3,-0.1,-0.1,0.1
0.0733,-0.2,0,-0.1,1.1,0,-0.1,0.1
0.0767,-0.3,-0.1,-0.2,-2.7,0.2,0,0
0.08,-0.1,0,-0.1,-4.4,0.2,0.2,-0.1
0.0833,0.4,0,0.1,-1.4,0,0.1,-0.1
0.0867,0.5,0.1,0.3,4.2,-0.3,-0.1,0
0.09,0.1,0,0.1,6.3,-0.2,-0.3,0.1
0.0933,-0.5,0,-0.2,1.6,0.1,-0.1,0.2
0.0967,-0.8,-0.1,-0.3,-6.1,0.4,0.2,0.1
0.1,-0.2,0,-0.2,-8.8,0.3,0.4,-0.2
0.1033,0.8,0.1,0.3,-2,-0.2,0.2,-0.3
0.1067,1.2,0.1,0.5,8.8,-0.6,-0.3,-0.1
0.11,0.3,0,0.2,12.4,-0.5,-0.6,0.3
0.1133,-1.2,-0.1,-0.4,2.8,0.3,-0.2,0.4
0.1167,-1.8,-0.2,-0.7,-12.7,0.9,0.5,0.1
0.12,-0.4,-0.1,-0.4,-18.4,0.6,0.8,-0.4
0.1233,2,0.2,0.5,-4.8,-0.4,0.4,-0.6
0.1267,2.9,0.4,1.2,19.5,-1.2,-0.4,0
0.13,0.7,0.3,0.9,31.6,-0.9,-1,0.8
0.1333,-4.1,-0.2,-0.5,11.2,0.4,-1.5,0.5
0.1367,-8.3,-1.2,-2.7,-41.6,1.1,-2.6,-2.1
0.14,-8.8,-2.5,-4.2,-103.8,-0.3,-5.6,-6.6
0.1433,-5.3,-3.6,-3.8,-144.9,-3.7,-10.2,-11.2
0.1467,-0.9,-4,-0.9,-149.2,-7.1,-14.4,-13.1
0.15,0.4,-3.4,4,-125.6,-7.7,-15.6,-10.9
0.1533,-2.6,-2.1,9,-99,-4.4,-12.7,-5.9
0.1567,-7.6,-0.8,11.4,-89.8,0.8,-7.4,-1.3
0.16,-10.3,-0.6,9.6,-100.3,4.4,-3.7,-0.1
0.1633,-8.4,-1.8,3.8,-116.1,3.7,-4.5,-2.9
0.1667,-3.6,-4.1,-4,-121.6,-0.8,-9.6,-7.5
0.17,0.2,-6.1,-10.2,-112.7,-6.3,-15.9,-10.8
0.1733,0.2,-6.8,-12.6,-98.5,-10,-19.8,-11.2
0.1767,-3.2,-5.9,-10.8,-90.3,-10.9,-20.3,-9.4
0.18,-7.1,-4.4,-6.7,-91.8,-10.1,-18.2,-7.7
0.1833,-9.2,-3.9,-2.9,-97.5,-8.8,-15.4,-7.3
0.1867,-9.7,-5.1,-1.2,-99.9,-6.8,-11.8,-7
0.19,-10,-7.4,-1.6,-96.1,-3.3,-6.4,-5
0.1933,-11.2,-9,-3.1,-89.6,1.2,0.9,-0.4
0.1967,-12.6,-8.2,-3.9,-84.4,4.6,7.3,4.6
0.2,-12.8,-4.8,-2.8,-81.6,3.8,8.1,6.4
0.2033,-11.5,-0.3,0.4,-79.4,-2,0.6,2.5
0.2067,-10.4,2.6,4.7,-76.2,-10.4,-12.9,-5.7
0.21,-10.9,2.1,7.7,-73.3,-16.4,-25.9,-14.1
0.2133,-13.2,-2,6.9,-73.1,-16.5,-32.2,-18.7
0.2167,-16.1,-8.2,1.3,-76.2,-11.5,-30.2,-18.7
0.22,-18.2,-13.9,-7.4,-80.1,-5.5,-24,-16.5
0.2233,-19.9,-17.5,-15.2,-81.1,-3.3,-20,-15.8
0.2267,-22.1,-18.2,-17.9,-77.1,-5.9,-21.6,-18.4
0.23,-24.9,-16.5,-13.8,-69.4,-10.5,-27,-22.4
0.2333,-26.3,-13.2,-5.5,-61.2,-12.5,-31,-24.7
0.2367,-24.3,-9.8,1.7,-56,-9.4,-29.9,-23.6
0.24,-19,-7.4,3.6,-55.6,-3,-24.5,-20
0.2433,-13.7,-7,-0.2,-59.2,2.6,-19,-17
0.2467,-12.1,-8.8,-6.6,-64.3,3.9,-17.3,-16.5
0.25,-15,-11.5,-11.6,-68.1,0.9,-19.4,-17.5
0.2533,-18.3,-13.6,-13,-68.6,-3.4,-22.1,-17.8
0.2567,-16.6,-13.4,-11.7,-65.7,-5.8,-22.3,-15.5
0.26,-7.8,-11.1,-10,-60.9,-5.5,-19.9,-11.7
0.2633,4.2,-8.5,-9.4,-56.2,-4.9,-18,-9.6
0.2667,12.6,-7.8,-9.8,-53.5,-6.6,-19.6,-11.4
0.27,12.8,-10,-10,-53.1,-11.1,-24.6,-16.9
0.2733,5.9,-13.9,-9.2,-54.5,-15.6,-29.6,-22.9
0.2767,-2.5,-17.1,-7.8,-56.1,-15.8,-30.2,-25.8
0.28,-7.4,-17.3,-6.9,-56.6,-9.8,-25.2,-24.1
0.2833,-8.5,-14.6,-7.1,-55.4,0.5,-17.3,-19.6
0.2867,-9.4,-10.9,-8.4,-53.1,9.8,-11.2,-15.3
0.29,-12.9,-8.7,-10.2,-50.7,13.1,-10.5,-13.7
0.2933,-18.1,-9.1,-12,-49.1,8.7,-15.2,-15
0.2967,-20.7,-11.5,-13.5,-48.3,-0.8,-22.3,-17.8
0.3,-17.6,-13.6,-14.4,-48,-10.1,-28.5,-20.4
0.3033,-9.9,-13.8,-14.1,-47.7,-15.4,-31.7,-21.9
0.3067,-2.9,-11.6,-12.2,-47.1,-15.4,-31.9,-22.2
0.31,-1.7,-8.4,-9.2,-46.1,-12.1,-30.3,-21.6
0.3133,-7,-6.1,-6.2,-44.4,-8.4,-28,-20.7
0.3167,-14.7,-5.8,-4.3,-42.2,-6.5,-26.1,-20.2
0.32,-19.5,-7.8,-4,-39.6,-6.8,-25.2,-20.6
0.3233,-19.1,-10.9,-4.9,-37.5,-8.3,-25.8,-21.9
0.3267,-15.6,-13.5,-6.1,-36.7,-9.5,-27.3,-23.4
0.33,-13.4,-14.4,-6.9,-37.7,-9.6,-28.2,-23.7
0.3333,-15.1,-12.8,-7,-39.8,-8.2,-27,-21.6
0.3367,-19.4,-9.4,-6.5,-41.5,-5.9,-23.5,-16.9
0.34,-22.9,-5.7,-5.8,-41.3,-3.3,-18.7,-10.9
0.3433,-23.5,-3.3,-5.3,-38.6,-1.1,-14.7,-5.6
0.3467,-22,-3.5,-5.5,-34.8,0.5,-12.8,-2.6
0.35,-21.1,-6.2,-7.3,-32,1.2,-13.3,-2.8
0.3533,-22.9,-10.1,-10.6,-32,1.1,-15.4,-5.8
0.3567,-26.2,-13.3,-14.6,-34.4,-0.5,-18.6,-10.4
0.36,-27.5,-14.1,-17.7,-37,-4,-22.7,-14.8
0.3633,-23.9,-12.1,-18.3,-37.6,-8.8,-27.5,-17
0.3667,-15.8,-7.9,-15.8,-35.6,-13.3,-31.3,-15.8
